"Classe","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021"
"3.2.1.5. Outras Lavouras Temporárias","8996.030816796874","4414.241027648923","2627.137248510751","2349.3646907775837","2080.150575164775","2164.4022322143346","2472.940935766583","2478.7046403136983","2725.684983367937","2750.322649865716","2642.671958093264","2612.10208519898","2361.378824810805","2236.2553864380084","2236.737512536622","2323.221915838613","2314.4272022277773","2399.821221569818","2411.862014483635","2231.6022607360924","2055.315809344489","2106.061488775631","2227.682091851814","2205.2461568359413","2060.805473468017","2096.4720976989815","2340.071207922364","2681.3322952331573","3212.240719342051","3468.924024102795","3789.976930920424","4250.750149963381","5085.943484173593","5768.682964758298","5832.845987725813","5909.308006695519","12135.875661126682"
"3.2.2. Lavoura Perene","52075.08138734726","60426.73875526136","60020.053684912134","65904.94190010385","67099.8459865049","66178.47287545136","64712.480383508555","64870.974484015314","65222.097914203245","67647.30422069119","72577.12107302279","76658.61736957417","81052.36421566264","83682.34979972617","88785.52552771023","99474.43018713519","102957.48835812489","103427.77760445041","99538.07899721175","102377.87218400351","103190.14448666475","106523.35168334472","111963.36724029013","115523.58876772535","118793.1395329104","120580.48864935327","125324.94064079018","135148.98674825992","149438.79701012888","167706.97873205764","178882.98744626576","178305.4013021434","180564.1519152653","182130.13972888852","187450.0970755987","195292.21663675466","195128.41225468036"
"3.2.2.1. Café (beta)","51962.00141412949","60306.31058500379","59896.16822666018","65766.41081735239","66960.39794932227","66035.56652808808","64572.690686432135","64730.83642402386","65080.50929566687","67499.39658568753","72420.79033595615","76495.30085083027","80885.85943845927","83512.05974951255","88603.18164273098","99263.60945470721","102745.56085049549","103216.18237161961","99343.10107904769","102178.67965358359","102993.73950264986","106326.43596937378","111760.43804400717","115318.28142055738","118587.41813230615","120375.72105188013","125120.86881881142","134947.44969255922","149238.27451861888","167509.56923247268","178694.59517920643","177624.149615681","179884.73670773968","181458.4784279913","186778.51044491632","194620.89627625662","194456.77756597797"
"3.2.2.2. Citrus (beta)","6.6610176086425765","0.084341748046875","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3.2.2.3. Outras Lavouras Perenes","106.41895560913083","120.34382850952147","123.88545825195307","138.53108275146482","139.44803718261713","142.9063473632812","139.78969707641602","140.13805999145507","141.58861853637694","147.90763500366208","156.33073706665044","163.31651874389655","166.50477720336914","170.29005021362303","182.34388497924806","210.82073242797856","211.92750762939454","211.5952328308106","194.9779181640625","199.19253041992184","196.40498401489256","196.91571397094728","202.9291962829589","205.30734716796871","205.72140060424803","204.76759747314452","204.0718219787598","201.53705570068365","200.52249151000976","197.4094995849609","188.39226705932617","681.2516864624029","679.4152075256352","671.6613008972171","671.5866306823732","671.3203604980471","671.6346887023927"
"3.3. Silvicultura (monocultura)","49380.19782221671","54698.73936915244","60125.56291749742","77502.80057325821","84542.69641047728","86073.865963352","103764.61708854044","110979.21020921858","111855.67154271546","119207.68233863359","120732.80518327463","121941.59895247601","121837.10123603241","122558.53618238858","121615.56900689556","124502.3416261337","126010.98190829878","128811.98900099228","132402.65010480626","140405.43973149112","145829.00450433773","155443.6579725946","165814.47724365848","175320.25294252293","193725.67320245327","203713.55203624867","212292.19788227484","215558.75149435905","219326.8085604731","223819.58714434676","222962.85263069317","227029.87389673322","225378.4538954338","230913.29560517397","238023.66315324412","242017.95971017386","243194.5429545102"
"3.4. Mosaico de Usos","1181123.0592574745","1216067.385228769","1238161.3528228546","1207483.5255147053","1213942.01336915","1201555.7446569644","1188300.0346776044","1188250.104573939","1176545.9274968267","1203842.6840781288","1250077.3632272899","1265158.8590399786","1279021.7892311993","1269617.4099139061","1246894.8931497242","1179992.9937457684","1184546.138128408","1169237.6604401104","1152517.0089618694","1178860.2172642343","1257086.4845652808","1291642.7865919333","1306389.0763006685","1339007.9261729014","1344187.927297977","1325128.8656533665","1325998.389002495","1351266.0202208208","1360519.2870056469","1355855.4217599377","1374506.1475023977","1456102.1549789156","1516704.5172591612","1572887.1460651378","1636901.1163736372","1611151.782329193","1532851.5285497128"
"4. Área não Vegetada","52190.23311442863","42598.43762748402","40459.081502313114","39720.001701263456","39867.962541448884","39979.5076178162","39895.77074061898","39765.20744965837","41272.76004495864","44913.586095654144","47376.73244186398","49380.981736047484","51184.39479919408","52303.83699934693","54272.477912054484","54523.61325020122","55895.49316926237","56875.72913374602","57798.91733090177","59195.29639410385","60291.43521014395","61707.4606823853","62820.55536308","64194.62434714365","65759.95565212442","67144.03653510183","68580.41424882208","69835.40547542105","71777.71319030788","73823.18505515788","76318.26145500578","77778.71443192828","78671.07965013493","79788.25912381047","80976.3918811529","81762.25500864316","86660.51460898478"
"4.1. Praia, Duna e Areal","2804.4982882080053","3392.1828708495946","3641.3052759094085","3590.074199591053","2864.192371539297","2160.1197760314976","1933.4249805725087","2070.763811743164","2394.8493647399832","3065.2744504882603","3638.765440753159","3872.0451205993177","3488.636344097869","3041.5755670349135","2615.3657536743112","1790.3256514648356","1629.6673846252463","1730.5022569030807","2073.756255743413","2444.1521725402617","2707.70766496582","2700.070633972159","2766.9833109924252","3050.302579351817","3640.5897478881852","3755.4401914855803","3444.9488040588158","3035.9451104492086","2929.1801570495572","2746.0398450439534","2720.3746762512337","2593.49368881226","2361.3460331420947","2355.3422274353084","2077.8583121093784","2067.538646289065","2065.4248899597196"
"4.2. Área Urbanizada","16539.245964208978","18307.773532800282","18670.05591488034","19303.826054437177","20163.132011175425","20750.657116186394","21591.442244738653","22227.92959992669","23746.62393624869","26956.64143968494","28993.751902441294","30478.279995690908","32232.914342297245","33512.95828192145","35329.85041008907","36399.90760834928","37359.39289831507","38011.52944149142","38694.671793041845","39395.16336639399","39935.34645480956","40887.17825054942","41441.51449123553","42100.1368943667","42819.22045368685","43896.306774481614","45182.36076274434","46353.141325164805","47773.903693811204","49023.23766937871","50092.46141016248","50750.771136273346","51438.39012236341","52188.68300194714","52943.297028949106","53017.2590889772","55395.791105712895"
"4.3. Mineração","6025.431690618817","6528.542996002112","6933.175229040455","7275.894626721331","7701.470725891148","7918.583515545823","8035.936547015579","8211.919672613754","8457.888233453603","8659.072616827376","8936.368463128747","9252.13061832294","9810.16235640858","10229.050653021188","10717.627970562837","10927.311416534567","11183.985366918983","11429.053194342003","11824.998712920962","12059.682502624437","12315.898867797776","12441.625920593217","12815.642430731197","13330.875485772543","13637.553793664625","13956.650438971055","14418.644079388308","14832.400358734027","15234.317590673922","15747.55203822667","16316.917690662372","16988.36154511171","17238.3776846868","17654.745888562535","18297.616672229422","18714.219554498715","18698.1293312199"
"4.4. Outras Áreas não Vegetadas","26821.057171392833","14369.938227832028","11214.545082482908","9550.206820513893","9139.167432843007","9150.147210052488","8334.96696829224","7254.594365374758","6673.39851051636","6232.597588653569","5807.8466355407745","5778.526001434325","5652.681756390384","5520.252497369386","5609.633777728267","5406.0685738525335","5722.447519403072","5704.644241009521","5205.490569195552","5296.298352545162","5332.482222570799","5678.58587727051","5796.415130120849","5713.309387652593","5662.59165688477","5535.639130163579","5534.46060263062","5613.918681073003","5840.311748773201","6306.355502508549","7188.507677929692","7446.088061730966","7632.965809942632","7589.488005865482","7657.619867864999","7963.237718878176","10501.169282092269"
"5. Corpo D`água","73505.63050059741","73690.08792382156","73283.41331666804","70204.57638509471","70072.8031367182","69245.18699872997","72552.65952212486","74266.1476926692","72657.05034843093","73188.03269843712","69551.07055454075","68274.03250232528","69180.25445167215","69113.25658956269","69752.58030059766","64598.95269069774","63203.170610668596","65986.1012678892","67728.34342159396","66732.25349181483","68979.78407059339","68359.77622455431","68386.59707813103","68133.46255888056","69246.26901437374","68258.3026766048","69204.65113173804","68380.32442655617","66461.42570946032","67112.64425472986","64144.552885387944","61500.192260345306","61402.454552239986","64259.529961316","64484.968294836486","67828.52736817002","65562.55581222511"
"5.1. Rio, Lago e Oceano","73505.63050059741","73690.08792382156","73283.41331666804","70204.57638509471","70072.8031367182","69245.18699872997","72552.65952212486","74266.1476926692","72657.05034843093","73188.03269843712","69551.07055454075","68274.03250232528","69180.25445167215","69113.25658956269","69752.58030059766","64598.95269069774","63203.170610668596","65986.1012678892","67728.34342159396","66732.25349181483","68979.78407059339","68359.77622455431","68386.59707813103","68133.46255888056","69246.26901437374","68258.3026766048","69204.65113173804","68380.32442655617","66461.42570946032","67112.64425472986","64144.552885387944","61500.192260345306","61402.454552239986","64259.529961316","64484.968294836486","67828.52736817002","65562.55581222511"
"5.2. Aquicultura","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6. Não observado","0.590888134765625","0.5062960144042968","0.7593028808593749","1.351258380126953","3.712917608642578","4.55595346069336","1.096885565185547","0.5906375244140625","2.1097476257324215","1.603449591064453","2.1101142333984373","1.941293713378906","2.868408129882813","2.4460203552246096","3.121371423339844","3.2050816345214845","4.049012322998047","3.8815964477539064","4.307042877197266","5.064066687011719","3.883567462158202","2.9548246948242185","4.476920874023437","4.137133905029296","4.558668212890625","1.856183770751953","2.445259399414063","2.951283923339844","3.3752177734375","3.5439348083496096","2.614871600341797","2.108395782470703","1.2660192504882812","1.772173516845703","1.3506054870605466","0.9283864990234376","1.0963811462402342"
